2025-10-01T20:41:26.558610912Z [inf]  2025-10-01 20:41:19,650 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:41:26.558615680Z [inf]  2025-10-01 20:41:19,651 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:41:26.558620447Z [inf]  2025-10-01 20:41:19,651 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:42:26.569024512Z [inf]  2025-10-01 20:42:21,655 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:42:26.569031920Z [inf]  2025-10-01 20:42:22,148 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:42:26.569036432Z [inf]  2025-10-01 20:42:22,149 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:42:26.569041185Z [inf]  2025-10-01 20:42:22,149 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:42:29.512350748Z [inf]  2025-10-01 20:42:29,507 - KARMA-LiveBOT - DEBUG - 📺 Checking 1 YouTube creators
2025-10-01T20:42:29.634549176Z [inf]  2025-10-01 20:42:29,628 - KARMA-LiveBOT - INFO - YouTube scraping for tikzzay: OFFLINE (indicators: 0)
2025-10-01T20:42:29.634553885Z [inf]  2025-10-01 20:42:29,629 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on youtube: is_live=False
2025-10-01T20:42:31.741843511Z [inf]  2025-10-01 20:42:31,739 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🤖Discord Member: 115
2025-10-01T20:43:31.743969063Z [inf]  2025-10-01 20:43:24,157 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:43:31.743980943Z [inf]  2025-10-01 20:43:24,664 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:43:31.743996416Z [inf]  2025-10-01 20:43:24,665 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:43:31.744002591Z [inf]  2025-10-01 20:43:24,665 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:43:51.744089638Z [inf]  2025-10-01 20:43:48,575 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T20:43:51.744096012Z [inf]  2025-10-01 20:43:48,575 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
2025-10-01T20:43:51.744100079Z [inf]  2025-10-01 20:43:48,575 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste TikTokLive library...
