2025-10-01T12:23:28.228058133Z [inf]  2025-10-01 12:23:27,180 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T12:23:28.228069821Z [inf]  2025-10-01 12:23:27,180 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
2025-10-01T12:23:28.228075477Z [inf]  2025-10-01 12:23:27,180 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste TikTokLive library...
2025-10-01T12:23:28.228081021Z [inf]  2025-10-01 12:23:27,561 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive async call erfolgreich: True
2025-10-01T12:23:28.228090158Z [inf]  2025-10-01 12:23:27,561 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library bestätigt - user LIVE ✅
2025-10-01T12:23:28.228099029Z [inf]  2025-10-01 12:23:27,561 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library Ergebnis: True
2025-10-01T12:23:28.228105209Z [inf]  2025-10-01 12:23:27,561 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste HTML-Parsing von https://www.tiktok.com/@sturmpelz11...
2025-10-01T12:23:28.228110948Z [err]  2025-10-01 12:23:27,874 - KARMA-LiveBOT.TikTok - WARNING - TikTok sturmpelz11: SIGI_STATE nicht gefunden
2025-10-01T12:23:28.228116882Z [inf]  2025-10-01 12:23:27,876 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: HTML-Parsing Ergebnis: False
2025-10-01T12:23:28.228131774Z [inf]  2025-10-01 12:23:27,876 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: ✅ LIVE bestätigt via TikTokLive library (zuverlässig)!
2025-10-01T12:23:28.228149591Z [inf]  2025-10-01 12:23:27,876 - KARMA-LiveBOT - INFO - 🎵 sturmpelz11 is LIVE on TikTok!
2025-10-01T12:23:28.228154604Z [inf]  2025-10-01 12:23:27,877 - KARMA-LiveBOT - INFO - Handling stream status for ✨Sturmpelz✨ on tiktok: is_live=True
2025-10-01T12:23:28.228159753Z [inf]  2025-10-01 12:23:27,877 - KARMA-LiveBOT - INFO - Creator ✨Sturmpelz✨ on tiktok: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T12:23:29.883013552Z [inf]  2025-10-01 12:23:29,879 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Starte intelligente Live-Verifikation...
2025-10-01T12:23:29.883019902Z [inf]  2025-10-01 12:23:29,879 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste TikTokLive library...
2025-10-01T12:23:30.307192194Z [inf]  2025-10-01 12:23:30,298 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive async call erfolgreich: False
2025-10-01T12:23:30.307203842Z [inf]  2025-10-01 12:23:30,299 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library bestätigt - user offline
2025-10-01T12:23:30.307211685Z [inf]  2025-10-01 12:23:30,299 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library Ergebnis: False
2025-10-01T12:23:30.307220252Z [inf]  2025-10-01 12:23:30,299 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste HTML-Parsing von https://www.tiktok.com/@tikzzay...
2025-10-01T12:23:30.639359711Z [err]  2025-10-01 12:23:30,636 - KARMA-LiveBOT.TikTok - WARNING - TikTok tikzzay: SIGI_STATE nicht gefunden
2025-10-01T12:23:30.639365133Z [inf]  2025-10-01 12:23:30,638 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: HTML-Parsing Ergebnis: False
2025-10-01T12:23:30.639369570Z [inf]  2025-10-01 12:23:30,638 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: ❌ Beide Methoden bestätigen - User offline
2025-10-01T12:23:30.642639520Z [inf]  2025-10-01 12:23:30,639 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on tiktok: is_live=False
2025-10-01T12:23:50.642814321Z [inf]  2025-10-01 12:23:46,136 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:23:50.642822467Z [inf]  2025-10-01 12:23:46,473 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:24:20.649361457Z [inf]  2025-10-01 12:24:18,239 - KARMA-LiveBOT - INFO - 📊 STATS-UPDATE: Starting stats channels update...
2025-10-01T12:24:20.649370874Z [inf]  2025-10-01 12:24:18,240 - KARMA-LiveBOT - INFO - 📊 STATS-UPDATE: No stats channels configured
2025-10-01T12:24:50.648309826Z [inf]  2025-10-01 12:24:48,215 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🧟‍♀️🩵Watching TikTok: 2
2025-10-01T12:24:50.648319082Z [inf]  2025-10-01 12:24:48,241 - KARMA-LiveBOT - INFO - ✅ Keep-alive ping successful - preventing cloud sleep
2025-10-01T12:24:50.648324511Z [inf]  2025-10-01 12:24:48,476 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
